,MW,GS,GC,Points,FormPts,Team_Arsenal,Team_Aston Villa,Team_Brighton,Team_Burnley,Team_Chelsea,Team_Crystal Palace,Team_Everton,Team_Leeds,Team_Leicester,Team_Liverpool,Team_Man City,Team_Man United,Team_Newcastle,Team_Norwich,Team_Southampton,Team_Tottenham,Team_Watford,Team_West Ham,Team_Wolves
0,2.0,0,2,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4.0,0,9,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6.0,2,9,1.2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,8.0,10,20,2.857142857142857,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,11.0,12,13,1.7,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,13.0,13,17,1.6666666666666667,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,16.0,18,22,1.5333333333333334,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,17.0,21,22,1.625,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,21.0,33,25,1.75,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,23.0,34,25,1.7727272727272727,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,26.0,82,58,3.84,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,27.0,43,29,1.9615384615384615,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,29.0,44,31,1.9285714285714286,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2.0,2,3,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,3.0,4,3,1.5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,5.0,5,7,1.0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
